,Open,High,Low,Close,Volume
2024-01-02,373.86,375.9,366.771,370.87,25258633
2024-01-03,369.01,373.2562,368.51,370.6,23083465
2024-01-04,370.665,373.1,367.17,367.94,20901502
2024-01-05,368.97,372.06,366.5,367.75,20074451
2024-01-08,369.3,375.2,369.01,374.69,23133967
2024-01-09,372.01,375.99,371.19,375.79,20829953
2024-01-10,376.37,384.17,376.32,382.77,25514245
2024-01-11,386.0,390.68,380.38,384.63,27850846
2024-01-12,385.49,388.68,384.65,388.47,21661153
2024-01-16,393.66,394.03,387.6229,390.27,27202268
2024-01-17,387.98,390.11,384.81,389.47,22234108
2024-01-18,391.72,393.99,390.12,393.87,23392068
2024-01-19,395.76,398.67,393.5,398.67,29331136
2024-01-22,400.02,400.62,393.59,396.51,27016902
2024-01-23,395.75,399.38,393.93,398.9,20525882
2024-01-24,401.54,405.63,400.45,402.56,23281889
2024-01-25,404.32,407.01,402.5294,404.87,21021155
2024-01-26,404.37,406.17,402.43,403.93,17803271
2024-01-29,406.06,409.98,404.33,409.72,24510236
2024-01-30,412.26,413.05,406.4501,408.59,33477610
2024-01-31,406.96,415.32,397.21,397.58,47871097
2024-02-01,401.83,408.0,401.8,403.78,30657726
2024-02-02,403.81,412.65,403.56,411.22,28256670
2024-02-05,409.9,411.16,403.99,405.65,25352286
2024-02-06,405.88,407.97,402.91,405.49,18382624
2024-02-07,407.44,414.3,407.4,414.05,22340526
2024-02-08,414.05,415.56,412.53,414.11,21225257
2024-02-09,415.25,420.82,415.09,420.55,22032844
2024-02-12,420.555,420.74,414.75,415.26,21202921
2024-02-13,404.94,410.071,403.39,406.32,27824936
2024-02-14,408.07,409.84,404.57,409.49,20401190
2024-02-15,408.14,409.13,404.29,406.56,21825525
2024-02-16,407.96,408.29,403.44,404.06,22296495
2024-02-20,403.24,404.49,398.01,402.79,24307915
2024-02-21,400.17,402.29,397.22,402.18,18631072
2024-02-22,410.19,412.83,408.57,411.65,27009869
2024-02-23,415.67,415.86,408.97,410.34,16295879
2024-02-26,411.455,412.16,407.36,407.54,16193505
2024-02-27,407.99,408.32,403.85,407.48,14835827
2024-02-28,408.175,409.3,405.3201,407.72,13183125
2024-02-29,408.64,414.2,405.92,413.64,31947263
2024-03-01,411.27,415.87,410.88,415.5,17823445
2024-03-04,413.44,417.35,412.32,414.92,17595956
2024-03-05,413.96,414.25,400.64,402.65,26919177
2024-03-06,402.97,405.16,398.39,402.09,22344149
2024-03-07,406.12,409.78,402.24,409.14,18718479
2024-03-08,407.96,410.42,404.33,406.22,18002186
2024-03-11,403.76,405.68,401.26,404.52,15998511
2024-03-12,407.62,415.57,406.79,415.28,21563656
2024-03-13,418.1,418.18,411.45,415.1,16990048
2024-03-14,420.24,427.82,417.99,425.22,33955263
2024-03-15,419.29,422.6,412.79,416.42,45079903
2024-03-18,414.25,420.73,413.78,417.32,20105977
2024-03-19,417.83,421.6656,415.55,421.41,19837915
2024-03-20,422.0,425.96,420.66,425.23,17860085
2024-03-21,429.83,430.82,427.16,429.37,21296222
2024-03-22,429.7,429.86,426.07,428.74,17648473
2024-03-25,425.24,427.41,421.61,422.86,18060450
2024-03-26,425.61,425.99,421.35,421.65,16725647
2024-03-27,424.44,424.45,419.01,421.43,16704978
2024-03-28,420.96,421.87,419.12,420.72,21871161
2024-04-01,423.95,427.89,422.22,424.57,15602611
2024-04-02,420.11,422.38,417.84,421.44,17861855
2024-04-03,419.73,423.26,419.085,420.45,16462007
2024-04-04,424.99,428.67,417.57,417.88,19290884
2024-04-05,420.01,426.51,418.32,425.52,16526878
2024-04-08,425.17,427.28,423.3,424.59,14248192
2024-04-09,426.44,427.74,421.62,426.28,12468710
2024-04-10,422.19,424.03,419.7,423.26,16216581
2024-04-11,425.82,429.37,422.36,427.93,17966423
2024-04-12,424.05,425.1794,419.77,421.9,19253750
2024-04-15,426.6,426.82,413.43,413.64,20273538
2024-04-16,414.57,418.4,413.7301,414.58,16765616
2024-04-17,417.25,418.88,410.33,411.84,15855485
2024-04-18,410.63,411.89,403.95,404.27,21029917
2024-04-19,404.03,405.48,397.77,399.12,30565789
2024-04-22,400.08,402.85,395.75,400.96,20286875
2024-04-23,404.235,408.2,403.06,407.57,15734501
2024-04-24,409.56,412.47,406.78,409.06,15065330
2024-04-25,394.03,399.8899,388.03,399.04,40586450
2024-04-26,412.17,413.0,405.7601,406.32,29694654
